,Number,Atom1,Atom2,Length,Atom1_Shift,Atom2_Shift,dipolar_coupling
0,1,H1,C1,2.149,0.3590932631539232,176.20047944079369,4.843044239908381e-52
1,2,H1,C2,1.1,0.3590932631539232,30.895690507735228,3.611184080735899e-51
2,3,H1,C3,2.191,0.3590932631539232,36.29366327012471,4.569835320408858e-52
3,4,H1,C4,2.846,0.3590932631539232,36.99257766062024,2.0850813101669618e-52
4,5,H1,C22,2.792,0.3590932631539232,18.374958866018886,2.2084188267945357e-52
5,6,H2,C1,2.171,0.9616102516548324,176.20047944079369,4.697299074284364e-52
6,7,H2,C2,1.095,0.9616102516548324,30.895690507735228,3.6608785821581126e-51
7,8,H2,C3,2.207,0.9616102516548324,36.29366327012471,4.471164858197125e-52
8,9,H2,C4,2.875,0.9616102516548324,36.99257766062024,2.0226192470348114e-52
9,10,H2,C5,2.799,0.9616102516548324,44.252653999393225,2.191891170974955e-52
10,11,H3,C1,2.707,0.027974903295262976,176.20047944079369,2.4230530096278114e-52
11,12,H3,C2,2.174,0.027974903295262976,30.895690507735228,4.6778798560773505e-52
12,13,H3,C3,1.0979999999999999,0.027974903295262976,36.29366327012471,3.6309532928850414e-51
13,14,H3,C4,2.1630000000000003,0.027974903295262976,36.99257766062024,4.749611903881632e-52
14,15,H3,C22,2.717,0.027974903295262976,18.374958866018886,2.396397001183073e-52
15,16,H4,C1,2.7239999999999998,0.4649940811268891,176.20047944079369,2.377970008960051e-52
16,17,H4,C2,2.168,0.4649940811268891,30.895690507735228,4.716825927709222e-52
17,18,H4,C3,1.101,0.4649940811268891,36.29366327012471,3.601353276482858e-51
18,19,H4,C4,2.182,0.4649940811268891,36.99257766062024,4.626615877860926e-52
19,20,H4,C5,2.821,0.4649940811268891,44.252653999393225,2.141008661450639e-52
20,21,H4,C6,2.633,0.4649940811268891,27.96658844091894,2.633147002172904e-52
21,22,H5,C3,2.123,-0.3840819562187825,36.29366327012471,5.023167963108233e-52
22,23,H5,C4,1.103,-0.3840819562187825,36.99257766062024,3.5817984598861806e-51
23,24,H5,C5,2.146,-0.3840819562187825,44.252653999393225,4.863383643236417e-52
24,25,H5,C6,2.758,-0.3840819562187825,27.96658844091894,2.291104493955157e-52
25,26,H5,C9,2.8819999999999997,-0.3840819562187825,47.192299420912654,2.0079169841967595e-52
26,27,H5,C22,2.158,-0.3840819562187825,18.374958866018886,4.782702439547784e-52
27,28,H5,C23,2.6639999999999997,-0.3840819562187825,9.015445518561565,2.5422896020853267e-52
28,29,H6,C2,2.7689999999999997,0.7036606601322966,30.895690507735228,2.263908215379188e-52
